Name,GB%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,SwStr%,F-Strike%,K%,BB%,Pitches,IP
Cole Hamels,45.8,32.9,68.6,57.7,85.4,41.4,12.3,59.7,23.0,8.1,2267,139.1
Freddy Peralta,32.9,26.9,66.4,59.9,82.6,43.9,11.1,57.2,30.4,13.4,1240,69.1
Kyle Hendricks,46.2,31.7,58.1,69.5,85.7,43.4,9.1,63.2,20.0,5.9,2391,151.2
John Gant,43.7,30.1,66.2,65.0,84.5,46.3,10.4,61.5,19.9,9.2,990,62.1
Julio Teheran,38.9,28.8,66.2,60.9,84.0,38.0,11.0,60.9,22.2,11.4,2237,140.2
Vince Velasquez,39.5,28.4,66.4,61.5,81.8,46.0,11.5,58.3,26.2,9.5,2051,123
Andrew Heaney,42.0,32.8,67.3,61.3,85.3,42.6,11.5,64.0,22.8,6.4,2139,140
Anthony DeSclafani,40.7,29.1,65.8,69.5,89.1,45.9,8.1,61.2,21.1,6.3,1124,74.1
Rick Porcello,45.0,30.8,65.4,68.5,89.6,46.5,8.3,67.5,23.5,5.6,2505,158.2
Jordan Zimmermann,34.3,34.7,68.6,68.7,88.9,42.2,9.5,65.7,20.7,4.2,1495,94.2
Caleb Smith,28.4,30.4,70.7,64.5,82.0,42.9,11.6,59.8,27.0,10.1,1393,77.1
Ivan Nova,45.0,32.1,70.3,68.9,89.8,43.0,8.8,57.8,16.4,4.7,2165,137
Stephen Strasburg,43.6,32.3,64.4,62.5,83.6,44.3,11.4,62.7,28.7,6.0,1453,89.1
Trevor Richards,35.6,31.0,65.8,65.3,86.5,39.3,10.0,61.0,23.4,10.4,1717,95.2
Felix Pena,40.3,31.5,60.3,57.1,85.2,42.0,11.6,62.7,25.0,10.1,853,53
Blaine Hardy,43.1,31.2,62.5,68.3,89.0,42.7,8.6,67.7,16.9,5.7,1056,67.2
Matt Boyd,31.2,30.1,67.6,66.8,85.2,41.7,10.0,57.4,21.8,7.4,2233,135
Ryan Borucki,48.1,32.9,61.9,77.5,91.0,39.4,6.7,55.5,14.0,8.5,913,52.2
Marco Gonzales,44.8,36.1,64.2,74.6,86.0,42.8,9.1,67.3,21.1,4.6,2266,145.2
James Shields,36.3,30.5,67.4,61.2,87.3,40.7,10.5,57.5,18.4,8.7,2597,163.1
Shane Bieber,44.8,30.5,62.9,59.7,85.4,48.7,10.8,63.7,24.0,4.7,1186,74.1
Jose Quintana,43.0,26.7,61.4,68.7,89.2,43.9,7.6,64.7,20.4,10.2,2195,130
