GB%,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,SwStr%,F-Strike%,K%,BB%,Pitches,IP
41.5,26.9,61.4,58.1,86.2,45.7,9.9,57.4,25.3,11.8,3235,193.1
43.2,33.0,67.7,61.6,89.0,41.8,10.4,61.1,19.2,5.9,3202,202
55.9,28.7,61.8,59.9,90.8,45.0,8.9,58.5,20.4,8.2,3295,219
52.5,28.1,65.6,71.4,86.6,47.8,8.3,60.0,18.1,6.7,2687,175
40.6,25.3,65.8,57.5,89.3,53.9,8.7,61.3,19.5,5.8,3054,198.1
53.3,26.3,63.9,47.6,91.2,53.7,9.4,62.8,20.5,4.8,3256,221.2
39.5,30.6,67.7,60.8,83.4,52.8,11.5,61.6,21.4,5.8,3427,227.1
62.1,28.6,65.0,57.1,89.1,43.9,10.0,58.6,19.7,7.4,3143,201
39.8,23.1,67.9,39.0,85.5,51.1,11.9,58.0,19.7,10.9,3269,218.1
45.8,20.6,65.1,49.1,88.2,50.0,9.0,55.1,20.2,10.3,2583,157
42.9,31.4,69.0,64.3,86.6,44.5,10.3,60.9,20.3,7.7,2941,183
53.5,32.3,60.1,65.3,88.6,40.6,9.4,54.3,19.8,7.5,2093,139.1
52.6,29.6,65.0,60.6,86.1,44.3,10.5,59.0,23.9,9.6,3124,197.1
41.8,30.6,67.2,70.4,86.8,39.7,9.0,60.1,16.7,8.0,2994,177
31.9,24.7,66.8,64.0,84.9,57.3,9.6,57.8,21.4,5.1,2671,177
66.3,25.5,61.4,52.8,89.9,53.1,8.9,65.3,18.7,5.3,3333,235
33.2,30.5,69.5,77.8,87.0,44.7,7.8,61.0,17.5,8.0,3090,200
40.7,28.9,64.6,72.4,87.3,44.3,8.1,54.9,16.8,9.6,1710,104.1
45.3,31.3,68.6,62.3,84.9,45.4,11.1,64.8,19.2,5.7,3049,197
39.5,27.2,63.3,54.6,80.1,41.5,12.5,63.4,27.3,12.0,2105,121.2
44.7,32.5,66.4,46.8,83.5,52.8,13.8,65.4,23.1,5.5,3062,205.2
55.4,20.0,71.5,42.0,88.7,51.7,9.7,56.8,18.5,10.4,3404,214
45.8,21.3,68.4,62.7,90.3,58.9,7.1,62.0,15.4,4.1,3477,236.2
47.5,27.8,62.2,62.7,85.7,42.0,9.7,53.1,22.8,10.5,3407,202
29.1,29.2,69.8,60.3,83.0,49.2,11.7,61.1,23.7,10.2,2884,173
30.2,19.8,69.0,44.6,85.5,56.7,10.3,59.6,22.6,8.0,3179,198.1
35.7,29.8,71.6,62.5,83.8,54.8,11.3,64.5,20.8,6.6,2575,166.2
32.2,29.6,72.2,74.0,82.8,46.3,9.9,57.8,18.1,7.6,2913,181
55.7,23.3,65.1,52.2,88.6,54.6,9.1,60.1,17.1,5.4,2619,186.2
48.7,29.3,62.0,65.2,88.8,45.0,8.7,59.0,19.2,7.1,3457,223.2
